path,label,raw_text,text
C:\Users\ibf\Desktop\TFM\Nou_projecte\Data\Banner aplicación\20260607074121_100097.png,Banner aplicación,"No se ha podido iniciar
sesión
Alguno de los datos introducidos
es incorrecto. Por razones de

seguridad, tu acceso se bloqueará
al tercer intento.

* No dejes espacios en blanco en tu
identificador ni en tu contraseña.

* Tu contraseña tiene un máximo de 10
dígitos y puede contener números y
letras.

Volvera|intentarlo

1                    Cambiar contraseña                    |",no podido iniciar sesión alguno de los datos introducidos es incorrecto por razones de seguridad acceso tercer intento no dejes espacios en blanco en identificador en contraseña contraseña tiene un máximo de dígitos puede contener números letras cambiar contraseña
C:\Users\ibf\Desktop\TFM\Nou_projecte\Data\Cierre aplicación\20260508152232_100106.png,Cierre aplicación,"e

=== - AN

A a
—    ;;Ííf',t,
— —7

—    —

— a      — — —
_""¡'F-= — =__=¡r_ =—— — —
—n'-->—_-——-—l-    ._...¡____-—¡—_ — E 31Í——-
F   -

.                                                                               í*__          =  r    d                                                         ]|
-                m                               M T aa =*:411'L a-          r ILÚh J*f';d'1   p '*í ;
-                                                                   X                              -

—                         a q         [_]      — 2 EE
Le]    Me                                       _   __    __ -   -    !                                 h

P                  aga     P  '_|_r      11_r—111:""1 -'“3:.__j“ J—=H 1€'**Qf;_—;_r-r[ll  l  h'$  '- !  u
E…H  r                 H:L Ln e              a           O AIIL .. u     dg   aaa '..'Í_l L'k,,_ .PAA.J'_¿  __III47:f1  1  [¿|
—                 —                                                                             -
r                                              Ae 33._,   a         :    ¡¡ ¿…¿_  L[_       —A Es
1.""'“=-.;… ""¿E.1¿.¡'  “.r—b--.)    £L¡ LL '¿__-__u

**$$…=;— A *:-¿L      E*'*
C¿,.:'=1r'€¿| '“tL        a E

1ñ*- ÍJ N I     I-*'u_¿“í_f¡_.(1'[""
— —  a  'WW£¿_::_,3  ñ a u  .-L'_¡.L  '*'.'.—L:'5:V'

||3|        ji     u 1e 1 e C:.*::¿__',_.

¡J e  ;¡   —a 1  - ¿ =_    J1F£:F—;¡'

—  -u-“'º        ; J    ¡         EN
e                   TNE

;r

-     —   E    —
—  e-fé—'—=5*-&' “Í* ea TE",aga es en
C:\Users\ibf\Desktop\TFM\Nou_projecte\Data\Error terminal\20260607224120_100047.png,Error terminal,"MCA Entornos            Config.
INT
PRE
PRO
PRO_51_CLR
INT_NODE 1

NT_A      Actualización de software

|        IOS 26.5 está disponible para tu
PRE         ¡iPhone y ya se puede instalar.

PRE               Instalar ahora

PRO                 Maás tarde

RO                        Detalles
PRO_NODE_3
PRO_NODE_4
PRO_NODE_5
PRO_NODE_6

PRO_NODE_7

PRO_NODE_8",mca entornos int pre pro actualización de software ios está disponible para pre iphone puede instalar pre instalar ahora pro tarde detalles
C:\Users\ibf\Desktop\TFM\Nou_projecte\Data\Error terminal\Pantalla de bloqueo\20260511024612_999996.png,Error terminal,,
C:\Users\ibf\Desktop\TFM\Nou_projecte\Data\Error aplicativo\20260529024005_100106.png,Error aplicativo,"<               Oo

imagin *0615

Saldo total

Datos de        Recibos          Enviar       Mostrar más

cuenta                   dinero
Movimientos                           Próximos

Q Buscar movimientos

X

No ha sido posible mostrar los movimientos de

esta cuenta",saldo total datos de recibos enviar mostrar más cuenta dinero movimientos próximos buscar movimientos no sido posible mostrar los movimientos de esta cuenta
C:\Users\ibf\Desktop\TFM\Nou_projecte\Data\Error aplicativo\20260519174412_100134.png,Error aplicativo,MITExCception,
C:\Users\ibf\Desktop\TFM\Nou_projecte\Data\Error funcional\20260530235728_100135.png,Error funcional,"Pendientes       Historial       Preparadas

9

No hay ninguna operación
pendiente.",pendientes historial preparadas no hay ninguna operación pendiente
C:\Users\ibf\Desktop\TFM\Nou_projecte\Data\Revisión circuito\Opciones de login\20260504073828_100109.png,Revisión circuito,"Usuario.

  Contraseña

Opciones de Login
(?) Ayuda de acceso
K) — Cajeros cercanos

() — Accesibilidad",usuario contraseña opciones de login ayuda de acceso cajeros cercanos accesibilidad
C:\Users\ibf\Desktop\TFM\Nou_projecte\Data\Error terminal\20260524140429_100135.png,Error terminal,,
C:\Users\ibf\Desktop\TFM\Nou_projecte\Data\Revisión circuito\20260614175235_100168.png,Revisión circuito,"Cambiar usuario

Introduce los datos del nuevo

usuario

Aparecerá de forma predeterminada en la
app y el usuario ******726 quedará
desvinculado.

Usuario

568699                                       (N

¿No puedes entrar?

Entrar",cambiar usuario introduce los datos del nuevo usuario aparecerá de forma en la app el usuario quedará usuario no puedes entrar entrar
